Energy_GeV,g1,g2,g3
91.18760000000002,0.9800000000000001 - 0.0j,0.14 - 0.0j,0.02 - 0.0j
112.55964902587239,0.9861635220125786 - 0.0j,0.14088050314465408 - 0.0j,0.02012578616352201 - 0.0j
138.94076155998806,0.9923270440251573 - 0.0j,0.14176100628930818 - 0.0j,0.020251572327044026 - 0.0j
171.5049344053322,0.9984905660377358 - 0.0j,0.14264150943396225 - 0.0j,0.020377358490566037 - 0.0j
211.70131928978773,1.0046540880503145 - 0.0j,0.14352201257861635 - 0.0j,0.020503144654088052 - 0.0j
261.3187121667051,1.0108176100628932 - 0.0j,0.14440251572327045 - 0.0j,0.020628930817610063 - 0.0j
322.5651571636635,1.0169811320754716 - 0.0j,0.14528301886792452 - 0.0j,0.020754716981132074 - 0.0j
398.1662076676801,1.0231446540880504 - 0.0j,0.14616352201257862 - 0.0j,0.02088050314465409 - 0.0j
491.4862173040706,1.0293081761006289 - 0.0j,0.1470440251572327 - 0.0j,0.0210062893081761 - 0.0j
606.6780584289947,1.0354716981132075 - 0.0j,0.1479245283018868 - 0.0j,0.021132075471698115 - 0.0j
748.8679308202582,1.0416352201257864 - 0.0j,0.1488050314465409 - 0.0j,0.021257861635220126 - 0.0j
924.3834848143772,1.047798742138365 - 0.0j,0.149685534591195 - 0.0j,0.02138364779874214 - 0.0j
1141.0354106920138,1.0539622641509434 - 0.0j,0.15056603773584906 - 0.0j,0.02150943396226415 - 0.0j
1408.4650254375063,1.060125786163522 - 0.0j,0.15144654088050313 - 0.0j,0.021635220125786163 - 0.0j
1738.57332497469,1.0662893081761007 - 0.0j,0.15232704402515723 - 0.0j,0.021761006289308178 - 0.0j
2146.050595310053,1.0724528301886793 - 0.0j,0.15320754716981133 - 0.0j,0.02188679245283019 - 0.0j
2649.030151027814,1.078616352201258 - 0.0j,0.15408805031446543 - 0.0j,0.022012578616352203 - 0.0j
3269.8952934241534,1.0847798742138366 - 0.0j,0.1549685534591195 - 0.0j,0.022138364779874214 - 0.0j
4036.2753990583683,1.090943396226415 - 0.0j,0.15584905660377357 - 0.0j,0.022264150943396226 - 0.0j
4982.275466069648,1.0971069182389936 - 0.0j,0.15672955974842767 - 0.0j,0.02238993710691824 - 0.0j
6149.993834808841,1.1032704402515723 - 0.0j,0.15761006289308177 - 0.0j,0.02251572327044025 - 0.0j
7591.395623498828,1.1094339622641511 - 0.0j,0.15849056603773587 - 0.0j,0.022641509433962266 - 0.0j
